timestamp(ms),Detected_R_wave,Pace,ECG_amp,ECG_comp,
"1742502895.009",,"0",,,
"1742502895.01",,,"2.31",,
"1742502895.012",,,,"0",
"1742502895.013","0",,,,
"1742502895.014",,"0",,,
"1742502895.015",,,"2.33",,
"1742502895.017",,,,"0",
"1742502895.018","0",,,,
"1742502895.019",,"0",,,
"1742502895.021",,,"2.34",,
"1742502895.022",,,,"0",
"1742502895.024","0","0",,,
"1742502895.026",,,"2.34",,
"1742502895.027",,,,"0",
"1742502895.029","0",,,,
"1742502895.03",,"0",,,
"1742502895.031",,,"2.36",,
"1742502895.032",,,,"0",
"1742502895.034","0",,,,
"1742502895.035",,"0",,,
"1742502895.036",,,"2.38",,
"1742502895.038",,,,"0",
"1742502895.039","0",,,,
"1742502895.04",,"0",,,
"1742502895.041",,,"2.39",,
"1742502895.043",,,,"0",
"1742502895.044","0",,,,
"1742502895.045",,"0",,,
"1742502895.047",,,"2.4",,
"1742502895.048",,,,"0",
"1742502895.05","0","0",,,
"1742502895.052",,,"2.42",,
"1742502895.053",,,,"0",
"1742502895.055","0",,,,
"1742502895.056",,"0",,,
"1742502895.057",,,"2.43",,
"1742502895.058",,,,"0",
"1742502895.06","0",,,,
"1742502895.061",,"0",,,
"1742502895.062",,,"2.45",,
"1742502895.064",,,,"0",
"1742502895.065","0",,,,
"1742502895.066",,"0",,,
"1742502895.067",,,"2.47",,
"1742502895.069",,,,"0",
"1742502895.07","0",,,,
"1742502895.071",,"0",,,
"1742502895.073",,,"2.47",,
"1742502895.074",,,,"0",
"1742502895.076","0",,,,
"1742502895.077",,"0",,,
"1742502895.078",,,"2.48",,
"1742502895.079",,,,"0",
"1742502895.081","0",,,,
"1742502895.082",,"0",,,
"1742502895.083",,,"2.49",,
"1742502895.084",,,,"0",
"1742502895.086","0",,,,
"1742502895.087",,"0",,,
"1742502895.088",,,"2.49",,
"1742502895.089",,,,"0",
"1742502895.091","0",,,,
"1742502895.092",,"0",,,
"1742502895.093",,,"2.49",,
"1742502895.095",,,,"0",
"1742502895.096","0",,,,
"1742502895.097",,"0",,,
"1742502895.098",,,"2.48",,
"1742502895.1",,,,"0",
"1742502895.102","0",,,,
"1742502895.103",,"0",,,
"1742502895.104",,,"2.47",,
"1742502895.105",,,,"0",
"1742502895.107","0",,,,
"1742502895.108",,"0",,,
"1742502895.109",,,"2.45",,
"1742502895.11",,,,"0",
"1742502895.112","0",,,,
"1742502895.113",,"0",,,
"1742502895.114",,,"2.43",,
"1742502895.116",,,,"0",
"1742502895.117","0",,,,
"1742502895.118",,"0",,,
"1742502895.119",,,"2.41",,
"1742502895.121",,,,"0",
"1742502895.122","0",,,,
"1742502895.123",,"0",,,
"1742502895.124",,,"2.38",,
"1742502895.126",,,,"0",
"1742502895.128","0","0",,,
"1742502895.13",,,"2.35",,
"1742502895.131",,,,"0",
"1742502895.133","0",,,,
"1742502895.134",,"0",,,
"1742502895.135",,,"2.33",,
"1742502895.136",,,,"0",
"1742502895.138","0",,,,
