timestamp(ms),ECG_comp,Detected_R_wave,Pace,ECG_amp,
"1742503228.911","0",,,,
"1742503228.913",,"0","0",,
"1742503228.915",,,,"2.18",
"1742503228.916","0",,,,
"1742503228.918",,"0","0",,
"1742503228.92",,,,"2.17",
"1742503228.921","0",,,,
"1742503228.923",,"0",,,
"1742503228.924",,,"0",,
"1742503228.925",,,,"2.17",
"1742503228.926","0",,,,
"1742503228.928",,"0",,,
"1742503228.929",,,"0",,
"1742503228.93",,,,"2.18",
"1742503228.932","0",,,,
"1742503228.933",,"0",,,
"1742503228.934",,,"0",,
"1742503228.935",,,,"2.18",
"1742503228.937","0",,,,
"1742503228.938",,"0",,,
"1742503228.939",,,"0",,
"1742503228.941",,,,"2.19",
"1742503228.942","0",,,,
"1742503228.944",,"0",,,
"1742503228.945",,,"0",,
"1742503228.946",,,,"2.19",
"1742503228.947","0",,,,
"1742503228.949",,"0",,,
"1742503228.95",,,"0",,
"1742503228.951",,,,"2.2",
"1742503228.952","0",,,,
"1742503228.954",,"0",,,
"1742503228.955",,,"0",,
"1742503228.956",,,,"2.2",
"1742503228.957","0",,,,
"1742503228.959",,"0",,,
"1742503228.96",,,"0",,
"1742503228.961",,,,"2.2",
"1742503228.963","0",,,,
"1742503228.965",,"0","0",,
"1742503228.966",,,,"2.21",
"1742503228.968","0",,,,
"1742503228.97",,"0","0",,
"1742503228.972",,,,"2.22",
"1742503228.973","0",,,,
"1742503228.975",,"0",,,
"1742503228.976",,,"0",,
"1742503228.977",,,,"2.22",
"1742503228.978","0",,,,
"1742503228.98",,"0",,,
"1742503228.981",,,"0",,
"1742503228.982",,,,"2.22",
"1742503228.983","0",,,,
"1742503228.985",,"0",,,
"1742503228.986",,,"0",,
"1742503228.987",,,,"2.23",
"1742503228.989","0",,,,
"1742503228.99",,"0",,,
"1742503228.991",,,"0",,
"1742503228.993",,,,"2.23",
"1742503228.994","0",,,,
"1742503228.996",,"0","0",,
"1742503228.998",,,,"2.24",
"1742503228.999","0",,,,
"1742503229.001",,"0",,,
"1742503229.002",,,"0",,
"1742503229.003",,,,"2.23",
"1742503229.004","0",,,,
"1742503229.006",,"0",,,
"1742503229.007",,,"0",,
"1742503229.008",,,,"2.23",
"1742503229.009","0",,,,
"1742503229.011",,"0",,,
"1742503229.012",,,"0",,
"1742503229.013",,,,"2.25",
"1742503229.015","0",,,,
"1742503229.016",,"0",,,
"1742503229.017",,,"0",,
"1742503229.018",,,,"2.24",
