timestamp(ms),ECG_comp,Detetcted R wave,ECG_amp,
"1742240419.264","0",,,
"1742240419.266",,"0",,
"1742240419.267",,,"1.93",
"1742240419.268","0",,,
"1742240419.27",,"0",,
"1742240419.272",,,"1.9",
"1742240419.273","0",,,
"1742240419.275",,"0",,
"1742240419.277",,,"1.92",
"1742240419.278","0",,,
"1742240419.28",,"0",,
"1742240419.282",,,"1.97",
"1742240419.283","0",,,
"1742240419.285",,"0",,
"1742240419.287",,,"2.03",
"1742240419.288","0",,,
"1742240419.29",,"0",,
"1742240419.292",,,"2.07",
"1742240419.293","0",,,
"1742240419.295",,"0",,
"1742240419.297",,,"2.1",
"1742240419.299","0",,,
"1742240419.3",,"0",,
"1742240419.302",,,"2.11",
"1742240419.304","0",,,
"1742240419.305",,"0",,
"1742240419.307",,,"2.11",
"1742240419.309","0",,,
"1742240419.31",,"0",,
"1742240419.312",,,"2.12",
"1742240419.313","0",,,
"1742240419.315",,"0",,
"1742240419.316",,,"2.13",
"1742240419.318","0",,,
"1742240419.32",,"0",,
"1742240419.322",,,"2.13",
"1742240419.323","0",,,
"1742240419.325",,"0",,
"1742240419.327",,,"2.14",
"1742240419.328","0",,,
"1742240419.33",,"0",,
"1742240419.332",,,"2.14",
"1742240419.333","0",,,
"1742240419.335",,"0",,
"1742240419.337",,,"2.16",
"1742240419.338","0",,,
"1742240419.34",,"0",,
"1742240419.342",,,"2.17",
"1742240419.343","0",,,
"1742240419.345",,"0",,
"1742240419.347",,,"2.17",
"1742240419.348","0",,,
"1742240419.35",,"0",,
"1742240419.352",,,"2.16",
"1742240419.353","0",,,
"1742240419.355",,"0",,
"1742240419.357",,,"2.18",
"1742240419.359","0",,,
"1742240419.36",,"0",,
"1742240419.362",,,"2.2",
"1742240419.364","0",,,
"1742240419.365",,"0",,
"1742240419.367",,,"2.21",
"1742240419.369","0",,,
"1742240419.371",,"0",,
"1742240419.372",,,"2.22",
"1742240419.374","0",,,
"1742240419.376",,"0",,
"1742240419.377",,,"2.23",
"1742240419.379","0",,,
"1742240419.381",,"0",,
"1742240419.383",,,"2.26",
"1742240419.384","0",,,
"1742240419.386",,"0",,
"1742240419.388",,,"2.26",
"1742240419.389","0",,,
"1742240419.391",,"0",,
"1742240419.393",,,"2.29",
"1742240419.394","0",,,
"1742240419.396",,"0",,
"1742240419.397",,,"2.3",
"1742240419.399","0",,,
"1742240419.4",,"0",,
"1742240419.402",,,"2.32",
"1742240419.403","0",,,
"1742240419.405",,"0",,
"1742240419.407",,,"2.33",
"1742240419.408","0",,,
"1742240419.41",,"0",,
"1742240419.412",,,"2.36",
"1742240419.414","0",,,
"1742240419.415",,"0",,
"1742240419.417",,,"2.36",
"1742240419.419","0",,,
"1742240419.42",,"0",,
"1742240419.422",,,"2.37",
"1742240419.424","0",,,
"1742240419.426",,"0",,
"1742240419.427",,,"2.4",
"1742240419.429","0",,,
"1742240419.431",,"0",,
"1742240419.433",,,"2.41",
"1742240419.434","0",,,
"1742240419.436",,"0",,
"1742240419.437",,,"2.42",
"1742240419.438","0",,,
"1742240419.44",,"0",,
"1742240419.442",,,"2.43",
"1742240419.443","0",,,
"1742240419.445",,"0",,
"1742240419.447",,,"2.43",
"1742240419.448","0",,,
"1742240419.45",,"0",,
"1742240419.452",,,"2.44",
"1742240419.453","0",,,
